Date,Open,High,Low,Close,Volume
###############,$0.10,$0.10,$0.09,$0.09,1223800
###############,$0.09,$0.09,$0.08,$0.09,508900
###############,$0.09,$0.09,$0.08,$0.08,455600
###############,$0.08,$0.08,$0.07,$0.07,1571100
###############,$0.07,$0.07,$0.07,$0.07,981400
###############,$0.07,$0.08,$0.07,$0.07,1328100
###############,$0.08,$0.08,$0.07,$0.08,724800
###############,$0.08,$0.08,$0.08,$0.08,381200
###############,$0.08,$0.08,$0.07,$0.08,289400
###############,$0.08,$0.08,$0.07,$0.07,216200
6-2-1997 16:00:00,$0.08,$0.08,$0.07,$0.08,49300
6-3-1997 16:00:00,$0.08,$0.08,$0.07,$0.07,98600
6-4-1997 16:00:00,$0.07,$0.07,$0.07,$0.07,256700
6-5-1997 16:00:00,$0.07,$0.08,$0.07,$0.08,472700
6-9-1997 16:00:00,$0.08,$0.09,$0.08,$0.08,196000
###############,$0.09,$0.09,$0.08,$0.08,454900
###############,$0.09,$0.09,$0.08,$0.08,99000
###############,$0.08,$0.08,$0.08,$0.08,136000
###############,$0.08,$0.08,$0.08,$0.08,57800
###############,$0.08,$0.08,$0.08,$0.08,76100
###############,$0.08,$0.08,$0.07,$0.08,392200
###############,$0.08,$0.08,$0.07,$0.08,205400
###############,$0.08,$0.08,$0.07,$0.08,82900
###############,$0.08,$0.08,$0.07,$0.08,282300
###############,$0.08,$0.08,$0.07,$0.07,87300
###############,$0.07,$0.08,$0.07,$0.08,62600
###############,$0.08,$0.08,$0.07,$0.08,175500
###############,$0.08,$0.08,$0.08,$0.08,265800
###############,$0.08,$0.08,$0.07,$0.07,99000
###############,$0.08,$0.08,$0.07,$0.08,228900
7-1-1997 16:00:00,$0.08,$0.08,$0.08,$0.08,107700
7-2-1997 16:00:00,$0.08,$0.08,$0.08,$0.08,323500
7-3-1997 16:00:00,$0.08,$0.10,$0.08,$0.10,1048101
7-7-1997 16:00:00,$0.09,$0.10,$0.09,$0.10,671100
7-8-1997 16:00:00,$0.10,$0.12,$0.10,$0.12,1293101
7-9-1997 16:00:00,$0.12,$0.12,$0.11,$0.12,688500
###############,$0.12,$0.13,$0.12,$0.13,754300
###############,$0.13,$0.13,$0.11,$0.11,847300
###############,$0.12,$0.12,$0.11,$0.11,383700
###############,$0.12,$0.12,$0.11,$0.11,383700
###############,$0.12,$0.12,$0.12,$0.12,240500
###############,$0.12,$0.12,$0.11,$0.11,264100
###############,$0.11,$0.11,$0.11,$0.11,65000
###############,$0.11,$0.11,$0.11,$0.11,47900
###############,$0.11,$0.11,$0.10,$0.11,130300
###############,$0.11,$0.12,$0.11,$0.11,271600
###############,$0.11,$0.12,$0.11,$0.11,101400
###############,$0.11,$0.11,$0.11,$0.11,51700
###############,$0.11,$0.12,$0.11,$0.12,169300
###############,$0.12,$0.12,$0.12,$0.12,401200
###############,$0.12,$0.13,$0.12,$0.12,209800
###############,$0.12,$0.12,$0.12,$0.12,121200
8-1-1997 16:00:00,$0.12,$0.12,$0.11,$0.12,299000
8-4-1997 16:00:00,$0.12,$0.12,$0.12,$0.12,222600
8-5-1997 16:00:00,$0.12,$0.12,$0.11,$0.11,252700
8-6-1997 16:00:00,$0.11,$0.12,$0.11,$0.11,103600
8-7-1997 16:00:00,$0.11,$0.11,$0.11,$0.11,169400
8-8-1997 16:00:00,$0.11,$0.12,$0.11,$0.11,184300
###############,$0.11,$0.12,$0.11,$0.12,103300
###############,$0.11,$0.12,$0.11,$0.11,47600
###############,$0.11,$0.11,$0.11,$0.11,49200
###############,$0.11,$0.11,$0.11,$0.11,86800
###############,$0.11,$0.11,$0.10,$0.11,133100
###############,$0.11,$0.11,$0.10,$0.10,148700
###############,$0.10,$0.11,$0.10,$0.11,83600
###############,$0.11,$0.11,$0.10,$0.11,82900
###############,$0.11,$0.11,$0.10,$0.11,61900
###############,$0.11,$0.11,$0.10,$0.11,59400
###############,$0.11,$0.11,$0.11,$0.11,93900
###############,$0.11,$0.12,$0.11,$0.12,217500
###############,$0.12,$0.12,$0.11,$0.12,116000
###############,$0.12,$0.12,$0.11,$0.12,95600
###############,$0.12,$0.12,$0.12,$0.12,60200
9-2-1997 16:00:00,$0.12,$0.12,$0.12,$0.12,61000
9-3-1997 16:00:00,$0.12,$0.12,$0.12,$0.12,163700
